cod_pais,cod_serie,means,año,value,countryname,countrycode,seriesname,seriescode
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2013,.396995583779145,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2014,2.18018602168017,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2015,1.66300602334775,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2016,2.22222216259371,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2017,2.797906720551,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2018,1.13569604599849,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2019,.977734697038784,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2020,-4.13191443239947,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2021,3.90999994204108,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2022,1.8092581243061,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2023,-.869647578573321,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2024,-.495851897260366,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2006,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2007,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2008,4.47337007522583,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2009,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2010,4.99525022506714,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2011,4.88583993911743,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2012,4.83153009414673,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2013,4.83911991119385,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2014,4.82582998275757,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2015,4.76157999038696,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2016,4.74631023406982,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2017,4.77830982208252,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2018,4.88400983810425,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2019,5.02757978439331,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2020,5.51600980758667,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2021,5.36734008789062,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2022,5.23916006088257,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2023,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2024,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2006,6.47993129557409,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2007,7.48405766634296,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2008,4.43315617318123,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2009,2.62409609496959,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2010,7.62675265966158,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2011,5.45100196166661,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2012,5.20891395964568,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2013,5.27881586451304,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2014,4.79835612587867,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2015,4.7187640804806,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2016,4.65562872024383,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2017,5.0621276153982,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2018,4.79489718189352,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2019,4.04297018230737,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2020,-.0574924656287692,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2021,6.34482611371077,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2022,2.9996184966993,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2023,4.20566738267351,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
EAS,NY.GDP.MKTP.KD.ZG,4.7337999,2024,3.79010550023051,East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
